alder,utdanning,erfaring,jobb,sted,fag,kolleger,lønn,bonus,fornøyd
31-35,5,1,"in-house, privat sektor",Vestland,automatisering,100 - 500,800000,Nei,Ja
31-35,2,10,"in-house, privat sektor",Oslo,frontend,100 - 500,800000,Nei,Ja
31-35,3,8,konsulent,Vestfold og Telemark,frontend,100 - 500,800000,Nei,Ja
31-35,5,6,"in-house, privat sektor",Troms og Finnmark,fullstack,100 - 500,800000,Ja,Ja
31-35,3,5,konsulent,Agder,fullstack,100 - 500,800000,Ja,Ja
31-35,3,10,"in-house, privat sektor",Trøndelag,fullstack,100 - 500,800000,Nei,Ja
31-35,0,4,konsulent,Vestland,fullstack,100 - 500,800000,Ja,Ja
36-40,5,3,konsulent,Vestland,backend,100 - 500,800000,Nei,Ja
36-40,2,3,"in-house, privat sektor",Oslo,fullstack,100 - 500,800000,Nei,Ja
36-40,5,9,"in-house, privat sektor",Innlandet,programvare,100 - 500,800000,Nei,Nei
36-40,3,12,"in-house, privat sektor",Møre og Romsdal,programvare,100 - 500,800000,Nei,Nei
41-45,4,19,"in-house, privat sektor",Innlandet,backend,100 - 500,800000,Nei,Nei
41-45,5,13,"in-house, offentlig/kommunal sektor",Troms og Finnmark,ledelse/administrativt,100 - 500,800000,Nei,Ja
46-50,6,22,"in-house, offentlig/kommunal sektor",Oslo,data science,100 - 500,800000,Ja,Ja
46-50,3,25,"in-house, offentlig/kommunal sektor",Oslo,ledelse/administrativt,100 - 500,800000,Nei,Nei
26-30,3,11,konsulent,Rogaland,automatisering,50 - 100,800000,Nei,Ja
26-30,5,2,konsulent,Vestland,backend,50 - 100,800000,Nei,Ja
31-35,5,5,"in-house, privat sektor",Oslo,fullstack,50 - 100,800000,Nei,Nei
31-35,0,10,"in-house, privat sektor",Agder,ingen av disse,50 - 100,800000,Nei,Ja
31-35,4,15,"in-house, privat sektor",Nordland,ingen av disse,50 - 100,800000,Ja,Ja
36-40,5,2,"in-house, privat sektor",Nordland,backend,50 - 100,800000,Ja,Ja
36-40,2,5,"in-house, privat sektor",Oslo,fullstack,50 - 100,800000,Nei,Ja
41-45,3,19,"in-house, privat sektor",Vestfold og Telemark,fullstack,50 - 100,800000,Nei,Nei
41-45,4,10,"in-house, privat sektor",Vestland,fullstack,50 - 100,800000,Nei,Nei
46-50,4,22,konsulent,Rogaland,sikkerhet,50 - 100,800000,Ja,Nei
26-30,3,3,"in-house, offentlig/kommunal sektor",Oslo,backend,500 - 1.000,800000,Nei,Ja
26-30,5,3,konsulent,Oslo,fullstack,500 - 1.000,800000,Nei,Ja
31-35,5,5,"in-house, privat sektor",Trøndelag,embedded/IOT/maskinvare,500 - 1.000,800000,Ja,Nei
31-35,3,3,"in-house, privat sektor",Oslo,fullstack,500 - 1.000,800000,Nei,Ja
36-40,3,12,"in-house, privat sektor",Viken,frontend,500 - 1.000,800000,Ja,Ja
41-45,5,26,"in-house, privat sektor",Vestland,backend,500 - 1.000,800000,Ja,Nei
41-45,4,13,"in-house, offentlig/kommunal sektor",Oslo,frontend,500 - 1.000,800000,Nei,Nei
41-45,3,13,"in-house, privat sektor",Trøndelag,fullstack,500 - 1.000,800000,Nei,Nei
61-65,5,30,"in-house, offentlig/kommunal sektor",Viken,frontend,500 - 1.000,800000,Nei,Nei
26-30,4,5,konsulent,Oslo,backend,over 10.000,800000,Ja,Nei
31-35,3,4,"in-house, privat sektor",Vestland,frontend,over 10.000,800000,Nei,Nei
51-55,4,24,"in-house, privat sektor",Oslo,fullstack,over 10.000,800000,Nei,Nei
56-60,5,30,"in-house, privat sektor",Oslo,ingen av disse,over 10.000,800000,Nei,Nei
26-30,5,3,konsulent,Trøndelag,backend,under 10,800000,Ja,Ja
26-30,5,7,frilans / selvstendig næringsdrivende,Viken,sikkerhet,under 10,800000,Nei,Ja
31-35,0,4,"in-house, privat sektor",Oslo,backend,under 10,800000,Nei,Ja
31-35,8,10,"in-house, privat sektor",Trøndelag,programvare,under 10,800000,Ja,Ja
36-40,3,19,konsulent,Oslo,backend,under 10,800000,Nei,Ja
36-40,5,20,frilans / selvstendig næringsdrivende,Oslo,fullstack,under 10,800000,Nei,Ja
26-30,3,8,"in-house, offentlig/kommunal sektor",Innlandet,frontend,100 - 500,801000,Nei,Ja
36-40,5,11,"in-house, privat sektor",Viken,backend,100 - 500,801000,Nei,Nei
41-45,2,13,konsulent,Vestland,backend,1.000 - 10.000,805000,Ja,Ja
36-40,2,6,"in-house, privat sektor",Oslo,fullstack,10 - 50,805000,Nei,Ja
31-35,3,9,"in-house, offentlig/kommunal sektor",Viken,devops,500 - 1.000,805000,Nei,Ja
31-35,5,9,konsulent,Oslo,backend,100 - 500,806000,Nei,Ja
41-45,5,16,konsulent,Innlandet,programvare,over 10.000,807000,Nei,Nei
46-50,3,23,"in-house, privat sektor",Trøndelag,fullstack,50 - 100,807500,Nei,Nei
21-25,4,6,"in-house, privat sektor",Oslo,programvare,50 - 100,808000,Nei,Ja
31-35,1,4,"in-house, privat sektor",Viken,fullstack,1.000 - 10.000,810000,Nei,Ja
41-45,4,10,"in-house, privat sektor",Oslo,fullstack,1.000 - 10.000,810000,Ja,Ja
26-30,3,,konsulent,Oslo,automatisering,10 - 50,810000,Nei,Ja
26-30,3,4,"in-house, privat sektor",Oslo,fullstack,10 - 50,810000,Ja,Ja
26-30,4,4,konsulent,Vestland,app,100 - 500,810000,Nei,Ja
31-35,5,10,"in-house, privat sektor",Innlandet,backend,100 - 500,810000,Ja,Nei
31-35,3,3,konsulent,Oslo,fullstack,100 - 500,810000,Nei,Ja
36-40,4,10,"in-house, privat sektor",Oslo,frontend,100 - 500,810000,Nei,Nei
41-45,5,22,konsulent,Innlandet,backend,100 - 500,810000,Nei,Ja
46-50,3,23,"in-house, offentlig/kommunal sektor",Viken,devops,100 - 500,810000,Nei,Ja
26-30,3,6,"in-house, offentlig/kommunal sektor",Trøndelag,backend,500 - 1.000,810000,Nei,Nei
26-30,3,5,"in-house, privat sektor",Oslo,fullstack,500 - 1.000,810000,Nei,Ja
26-30,3,4,konsulent,Oslo,backend,100 - 500,811000,Ja,Ja
46-50,4,10,"in-house, offentlig/kommunal sektor",Oslo,fullstack,1.000 - 10.000,815000,Nei,Nei
26-30,3,2,konsulent,Oslo,backend,10 - 50,815000,Ja,Ja
36-40,5,15,"in-house, offentlig/kommunal sektor",Agder,devops,1.000 - 10.000,816000,Nei,Ja
36-40,5,7,konsulent,Møre og Romsdal,data science,10 - 50,816000,Nei,Ja
31-35,3,6,"in-house, privat sektor",Nordland,arkitektur,1.000 - 10.000,817000,Nei,Ja
41-45,4,15,"in-house, offentlig/kommunal sektor",Oslo,frontend,500 - 1.000,817400,Nei,Nei
36-40,2,11,"in-house, privat sektor",Oslo,automatisering,10 - 50,819000,Nei,Nei
21-25,3,5,konsulent,Oslo,frontend,1.000 - 10.000,820000,Ja,Ja
26-30,5,2,"in-house, privat sektor",Oslo,data science,1.000 - 10.000,820000,Ja,Ja
26-30,3,3,konsulent,Viken,fullstack,1.000 - 10.000,820000,Ja,Nei
26-30,3,4,konsulent,Vestland,sikkerhet,1.000 - 10.000,820000,Nei,Ja
31-35,4,12,"in-house, privat sektor",Oslo,UX / design,1.000 - 10.000,820000,Nei,Ja
36-40,5,18,konsulent,Trøndelag,automatisering,1.000 - 10.000,820000,Ja,Ja
36-40,5,7,"in-house, offentlig/kommunal sektor",Oslo,data science,1.000 - 10.000,820000,Nei,Ja
36-40,3,13,"in-house, offentlig/kommunal sektor",Oslo,fullstack,1.000 - 10.000,820000,Nei,Nei
46-50,3,23,konsulent,Trøndelag,frontend,1.000 - 10.000,820000,Nei,Ja
26-30,3,2,konsulent,Oslo,sikkerhet,10 - 50,820000,Ja,Nei
31-35,3,6,"in-house, privat sektor",Oslo,frontend,10 - 50,820000,Nei,Nei
26-30,5,5,"in-house, privat sektor",Oslo,app,100 - 500,820000,Ja,Nei
26-30,5,3,konsulent,Oslo,fullstack,100 - 500,820000,Ja,Ja
26-30,4,4,"in-house, offentlig/kommunal sektor",Oslo,fullstack,100 - 500,820000,Nei,Ja
31-35,3,12,"in-house, privat sektor",Oslo,frontend,100 - 500,820000,Nei,Ja
41-45,3,9,konsulent,Oslo,backend,100 - 500,820000,Nei,Ja
36-40,3,15,"in-house, privat sektor",Vestfold og Telemark,fullstack,50 - 100,820000,Nei,Ja
26-30,3,4,konsulent,Oslo,frontend,500 - 1.000,820000,Ja,Nei
26-30,5,6,"in-house, privat sektor",Vestfold og Telemark,ledelse/administrativt,500 - 1.000,820000,Ja,Nei
31-35,7,5,"in-house, privat sektor",Viken,embedded/IOT/maskinvare,500 - 1.000,820000,Ja,Ja
31-35,5,8,"in-house, offentlig/kommunal sektor",Oslo,fullstack,500 - 1.000,820000,Nei,Ja
26-30,3,5,"in-house, privat sektor",Viken,fullstack,over 10.000,820000,Ja,Nei
31-35,0,11,"in-house, privat sektor",Trøndelag,fullstack,under 10,820000,Nei,Ja
46-50,3,20,"in-house, privat sektor",Vestland,fullstack,under 10,820000,Nei,Ja
31-35,5,7,konsulent,Oslo,backend,100 - 500,820600,Nei,Nei
26-30,5,2,frilans / selvstendig næringsdrivende,Rogaland,fullstack,10 - 50,820800,Nei,Nei
26-30,5,6,"in-house, privat sektor",Oslo,sikkerhet,100 - 500,823000,Nei,Ja
31-35,5,9,konsulent,Agder,fullstack,1.000 - 10.000,825000,Nei,Nei
26-30,3,6,"in-house, privat sektor",Oslo,frontend,10 - 50,825000,Nei,Ja
31-35,5,5,konsulent,Oslo,fullstack,10 - 50,825000,Nei,Ja
26-30,3,5,konsulent,Oslo,UX / design,100 - 500,825000,Ja,Ja
31-35,5,7,"in-house, offentlig/kommunal sektor",Vestland,fullstack,100 - 500,825000,Nei,Nei
36-40,5,12,"in-house, privat sektor",Vestfold og Telemark,backend,500 - 1.000,825000,Nei,Ja
31-35,5,5,konsulent,Oslo,fullstack,100 - 500,827000,Nei,Nei
26-30,5,5,konsulent,Oslo,backend,1.000 - 10.000,830000,Ja,Nei
31-35,4,6,konsulent,Oslo,devops,1.000 - 10.000,830000,Nei,Ja
31-35,4,7,"in-house, privat sektor",Oslo,ledelse/administrativt,1.000 - 10.000,830000,Nei,Nei
36-40,3,15,konsulent,Oslo,backend,1.000 - 10.000,830000,Nei,Nei
46-50,0,23,konsulent,Rogaland,frontend,1.000 - 10.000,830000,Ja,Nei
31-35,2,6,"in-house, privat sektor",Oslo,frontend,10 - 50,830000,Nei,Ja
26-30,5,5,"in-house, privat sektor",Oslo,databaser,100 - 500,830000,Nei,Ja
26-30,3,4,konsulent,Trøndelag,fullstack,100 - 500,830000,Ja,Ja
31-35,3,6,"in-house, privat sektor",Vestland,backend,100 - 500,830000,Nei,Ja
31-35,5,7,konsulent,Oslo,frontend,100 - 500,830000,Nei,Nei
31-35,3,7,"in-house, privat sektor",Vestfold og Telemark,fullstack,100 - 500,830000,Nei,Ja
41-45,3,23,"in-house, privat sektor",Oslo,programvare,100 - 500,830000,Nei,Nei
51-55,8,25,"in-house, privat sektor",Trøndelag,programvare,100 - 500,830000,Nei,Ja
26-30,5,4,konsulent,Oslo,fullstack,50 - 100,830000,Nei,Ja
26-30,6,3,"in-house, privat sektor",Oslo,backend,over 10.000,830000,Ja,Ja
41-45,2,25,"in-house, privat sektor",Oslo,fullstack,under 10,830000,Nei,Nei
41-45,3,15,"in-house, privat sektor",Vestland,fullstack,under 10,830000,Nei,Nei
41-45,3,23,"in-house, offentlig/kommunal sektor",Oslo,devops,100 - 500,833500,Ja,Nei
31-35,5,9,konsulent,Oslo,backend,100 - 500,835000,Nei,Ja
31-35,5,4,"in-house, privat sektor",Oslo,data science,50 - 100,835000,Nei,Ja
26-30,5,4,konsulent,Oslo,fullstack,500 - 1.000,835000,Ja,Ja
46-50,3,23,"in-house, offentlig/kommunal sektor",Innlandet,fullstack,1.000 - 10.000,837332,Nei,Nei
26-30,3,5,konsulent,Oslo,fullstack,1.000 - 10.000,840000,Ja,Ja
31-35,2,3,konsulent,Rogaland,devops,1.000 - 10.000,840000,Ja,Ja
26-30,4,3,konsulent,Oslo,frontend,10 - 50,840000,Nei,Ja
36-40,5,11,"in-house, privat sektor",Nordland,fullstack,10 - 50,840000,Ja,Ja
41-45,4,18,"in-house, offentlig/kommunal sektor",Oslo,fullstack,10 - 50,840000,Nei,Ja
41-45,7,15,"in-house, offentlig/kommunal sektor",Trøndelag,ledelse/administrativt,10 - 50,840000,Nei,Ja
41-45,3,7,"in-house, privat sektor",Oslo,ledelse/administrativt,10 - 50,840000,Nei,Ja
26-30,3,3,konsulent,Viken,frontend,100 - 500,840000,Ja,Ja
26-30,5,2,"in-house, privat sektor",Oslo,frontend,100 - 500,840000,Nei,Ja
26-30,4,1,konsulent,Oslo,fullstack,100 - 500,840000,Ja,Ja
26-30,5,3,konsulent,Oslo,fullstack,100 - 500,840000,Nei,Ja
31-35,2,8,"in-house, privat sektor",Oslo,backend,100 - 500,840000,Nei,Ja
31-35,3,8,konsulent,Oslo,frontend,100 - 500,840000,Ja,Nei
51-55,3,30,"in-house, privat sektor",Viken,ledelse/administrativt,100 - 500,840000,Nei,Nei
26-30,4,5,konsulent,Oslo,fullstack,50 - 100,840000,Ja,Ja
31-35,4,5,"in-house, privat sektor",Oslo,fullstack,50 - 100,840000,Ja,Nei
26-30,5,5,"in-house, privat sektor",Oslo,fullstack,500 - 1.000,840000,Ja,Nei
31-35,3,9,"in-house, offentlig/kommunal sektor",Agder,backend,over 10.000,840000,Nei,Ja
31-35,3,4,"in-house, offentlig/kommunal sektor",Oslo,backend,over 10.000,840000,Nei,Ja
41-45,3,20,"in-house, privat sektor",Oslo,fullstack,over 10.000,840000,Nei,Ja
26-30,5,6,"in-house, privat sektor",Trøndelag,fullstack,under 10,840000,Nei,Ja
31-35,3,4,konsulent,Oslo,backend,under 10,840000,Ja,Ja
31-35,5,11,"in-house, privat sektor",Oslo,fullstack,under 10,840000,Nei,Nei
36-40,0,17,"in-house, privat sektor",Trøndelag,backend,10 - 50,841500,Nei,Ja
31-35,3,5,konsulent,Oslo,backend,100 - 500,843774,Nei,Ja
31-35,3,4,konsulent,Agder,fullstack,10 - 50,845000,Nei,Ja
31-35,5,9,konsulent,Vestfold og Telemark,frontend,over 10.000,845000,Ja,Nei
26-30,,5,konsulent,Oslo,backend,1.000 - 10.000,846000,Nei,Ja
36-40,5,10,"in-house, privat sektor",Viken,embedded/IOT/maskinvare,1.000 - 10.000,847000,Nei,Ja
26-30,5,3,konsulent,Oslo,fullstack,1.000 - 10.000,850000,Ja,Ja
26-30,5,6,konsulent,Oslo,fullstack,1.000 - 10.000,850000,Nei,Ja
26-30,5,5,"in-house, privat sektor",Rogaland,ledelse/administrativt,1.000 - 10.000,850000,Ja,Ja
31-35,3,8,"in-house, privat sektor",Oslo,backend,1.000 - 10.000,850000,Ja,Nei
31-35,5,7,konsulent,Viken,backend,1.000 - 10.000,850000,Ja,Ja
31-35,3,11,"in-house, privat sektor",Rogaland,fullstack,1.000 - 10.000,850000,Nei,Ja
36-40,5,15,"in-house, privat sektor",Vestland,arkitektur,1.000 - 10.000,850000,Nei,Ja
36-40,5,14,"in-house, privat sektor",Viken,fullstack,1.000 - 10.000,850000,Nei,Nei
36-40,3,10,konsulent,Oslo,testing,1.000 - 10.000,850000,Ja,Nei
46-50,3,25,"in-house, offentlig/kommunal sektor",Innlandet,ledelse/administrativt,1.000 - 10.000,850000,Nei,Nei
21-25,3,4,"in-house, privat sektor",Vestland,fullstack,10 - 50,850000,Nei,Nei
26-30,5,3,"in-house, privat sektor",Oslo,fullstack,10 - 50,850000,Nei,Ja
26-30,5,3,"in-house, privat sektor",Oslo,fullstack,10 - 50,850000,Nei,Ja
31-35,3,3,konsulent,Oslo,app,10 - 50,850000,Ja,Ja
31-35,0,4,konsulent,Oslo,automatisering,10 - 50,850000,Nei,Ja
31-35,0,10,konsulent,Oslo,ledelse/administrativt,10 - 50,850000,Nei,Nei
31-35,1,2,"in-house, privat sektor",Oslo,testing,10 - 50,850000,Nei,Ja
36-40,3,11,konsulent,Vestland,arkitektur,10 - 50,850000,Nei,Ja
36-40,3,6,konsulent,Oslo,frontend,10 - 50,850000,Ja,Ja
36-40,3,10,"in-house, privat sektor",Vestland,fullstack,10 - 50,850000,Nei,Ja
41-45,0,16,"in-house, privat sektor",Agder,backend,10 - 50,850000,Nei,Ja
41-45,2,4,"in-house, privat sektor",Agder,fullstack,10 - 50,850000,Nei,Ja
46-50,3,25,"in-house, privat sektor",Vestfold og Telemark,arkitektur,10 - 50,850000,Nei,Ja
46-50,4,24,"in-house, privat sektor",Oslo,fullstack,10 - 50,850000,Nei,Ja
21-25,3,2,konsulent,Vestland,fullstack,100 - 500,850000,Ja,Ja
26-30,3,3,"in-house, privat sektor",Oslo,app,100 - 500,850000,Ja,Ja
26-30,3,6,"in-house, privat sektor",Oslo,backend,100 - 500,850000,Ja,Ja
26-30,3,8,konsulent,Oslo,backend,100 - 500,850000,Nei,Nei
26-30,5,2,"in-house, privat sektor",Trøndelag,data science,100 - 500,850000,Ja,Ja
26-30,0,7,"in-house, privat sektor",Oslo,fullstack,100 - 500,850000,Nei,Nei
26-30,3,7,konsulent,Oslo,fullstack,100 - 500,850000,Ja,Nei
26-30,3,3,"in-house, privat sektor",utlandet,programvare,100 - 500,850000,Ja,Nei
31-35,3,7,"in-house, offentlig/kommunal sektor",Oslo,backend,100 - 500,850000,Nei,Ja
31-35,5,3,konsulent,Oslo,data science,100 - 500,850000,Ja,Ja
31-35,5,7,konsulent,Viken,embedded/IOT/maskinvare,100 - 500,850000,Ja,Ja
31-35,5,11,"in-house, privat sektor",Viken,embedded/IOT/maskinvare,100 - 500,850000,Ja,Ja
31-35,4,4,"in-house, privat sektor",Oslo,ledelse/administrativt,100 - 500,850000,Nei,Ja
36-40,5,11,"in-house, privat sektor",Trøndelag,backend,100 - 500,850000,Ja,Ja
46-50,4,25,"in-house, privat sektor",Møre og Romsdal,automatisering,100 - 500,850000,Nei,Ja
46-50,4,8,"in-house, privat sektor",Oslo,backend,100 - 500,850000,Nei,Nei
46-50,3,24,"in-house, privat sektor",Viken,embedded/IOT/maskinvare,100 - 500,850000,Ja,Ja
51-55,3,25,"in-house, privat sektor",Oslo,backend,100 - 500,850000,Nei,Nei
36-40,3,15,"in-house, privat sektor",Rogaland,backend,50 - 100,850000,Nei,Nei
36-40,3,15,konsulent,Oslo,ledelse/administrativt,50 - 100,850000,Nei,Ja
41-45,5,16,"in-house, privat sektor",Vestfold og Telemark,fullstack,50 - 100,850000,Nei,Nei
41-45,5,15,konsulent,Møre og Romsdal,fullstack,50 - 100,850000,Nei,Nei
26-30,3,4,"in-house, offentlig/kommunal sektor",Oslo,backend,500 - 1.000,850000,Nei,Ja
26-30,5,4,"in-house, privat sektor",Oslo,fullstack,500 - 1.000,850000,Ja,Nei
36-40,,18,"in-house, privat sektor",Rogaland,fullstack,500 - 1.000,850000,Nei,Nei
41-45,1,8,"in-house, privat sektor",Oslo,backend,500 - 1.000,850000,Nei,Ja
21-25,2,0,"in-house, privat sektor",Oslo,backend,over 10.000,850000,Ja,Nei
26-30,3,2,konsulent,utlandet,sikkerhet,over 10.000,850000,Ja,Ja
26-30,2,5,konsulent,Rogaland,testing,over 10.000,850000,Ja,Ja
36-40,3,12,"in-house, privat sektor",Oslo,backend,over 10.000,850000,Nei,Nei
36-40,5,14,"in-house, privat sektor",Viken,ledelse/administrativt,over 10.000,850000,Ja,Nei
46-50,3,26,"in-house, privat sektor",Møre og Romsdal,backend,over 10.000,850000,Nei,Ja
26-30,3,7,"in-house, privat sektor",Oslo,ingen av disse,under 10,850000,Nei,Ja
31-35,3,10,frilans / selvstendig næringsdrivende,Innlandet,devops,under 10,850000,Nei,Ja
41-45,1,18,"in-house, privat sektor",Møre og Romsdal,fullstack,under 10,850000,Nei,Ja
31-35,0,11,konsulent,Rogaland,fullstack,10 - 50,851000,Nei,Nei
51-55,,27,"in-house, privat sektor",Oslo,fullstack,over 10.000,854000,Nei,Ja
26-30,3,5,konsulent,Oslo,fullstack,1.000 - 10.000,855000,Ja,Ja
31-35,3,9,konsulent,Oslo,fullstack,under 10,855000,Ja,Ja
46-50,4,21,"in-house, offentlig/kommunal sektor",Oslo,backend,1.000 - 10.000,856250,Nei,Ja
31-35,4,5,"in-house, privat sektor",Agder,frontend,500 - 1.000,858000,Ja,Nei
26-30,5,1,"in-house, privat sektor",Trøndelag,data science,1.000 - 10.000,860000,Nei,Ja
31-35,3,7,konsulent,Oslo,fullstack,1.000 - 10.000,860000,Ja,Ja
31-35,5,6,konsulent,Oslo,fullstack,1.000 - 10.000,860000,Ja,Nei
31-35,5,9,konsulent,Rogaland,fullstack,1.000 - 10.000,860000,Ja,Ja
36-40,5,15,konsulent,Oslo,devops,1.000 - 10.000,860000,Nei,Nei
41-45,,23,"in-house, offentlig/kommunal sektor",Viken,arkitektur,1.000 - 10.000,860000,Nei,Ja
46-50,3,22,"in-house, privat sektor",Innlandet,fullstack,1.000 - 10.000,860000,Ja,Ja
56-60,3,35,"in-house, privat sektor",Oslo,sikkerhet,1.000 - 10.000,860000,Ja,Ja
36-40,6,10,"in-house, privat sektor",Møre og Romsdal,automatisering,10 - 50,860000,Nei,Ja
36-40,0,15,konsulent,Innlandet,UX / design,10 - 50,860000,Nei,Nei
41-45,4,15,"in-house, privat sektor",Vestland,embedded/IOT/maskinvare,10 - 50,860000,Nei,Ja
26-30,3,8,"in-house, privat sektor",Vestland,frontend,100 - 500,860000,Ja,Ja
26-30,5,3,konsulent,Oslo,fullstack,100 - 500,860000,Ja,Ja
26-30,5,3,konsulent,Oslo,ledelse/administrativt,100 - 500,860000,Nei,Nei
31-35,3,6,"in-house, privat sektor",Oslo,backend,100 - 500,860000,Ja,Nei
31-35,0,3,"in-house, privat sektor",Oslo,fullstack,100 - 500,860000,Nei,Ja
31-35,5,5,"in-house, offentlig/kommunal sektor",Oslo,ledelse/administrativt,100 - 500,860000,Ja,Ja
31-35,5,6,"in-house, offentlig/kommunal sektor",Viken,sikkerhet,100 - 500,860000,Nei,Ja
36-40,7,10,"in-house, privat sektor",Viken,frontend,50 - 100,860000,Ja,Ja
36-40,6,15,"in-house, privat sektor",Innlandet,fullstack,500 - 1.000,860000,Ja,Ja
51-55,2,23,"in-house, offentlig/kommunal sektor",Vestland,devops,500 - 1.000,860000,Nei,Nei
26-30,3,6,"in-house, privat sektor",Oslo,UX / design,over 10.000,860000,Ja,Nei
36-40,5,10,"in-house, offentlig/kommunal sektor",Oslo,data science,over 10.000,860000,Nei,Ja
36-40,,23,konsulent,Agder,programvare,over 10.000,860000,Nei,Nei
31-35,2,8,"in-house, offentlig/kommunal sektor",Vestland,backend,under 10,860000,Nei,Nei
41-45,5,26,"in-house, privat sektor",Vestland,embedded/IOT/maskinvare,under 10,860000,Nei,Nei
26-30,4,8,konsulent,Oslo,fullstack,1.000 - 10.000,862000,Ja,Nei
26-30,3,5,"in-house, privat sektor",Oslo,fullstack,100 - 500,862000,Ja,Nei
36-40,8,14,"in-house, offentlig/kommunal sektor",Trøndelag,backend,100 - 500,864000,Nei,Nei
36-40,3,8,"in-house, privat sektor",Oslo,data science,1.000 - 10.000,865000,Nei,Ja
36-40,3,14,konsulent,Oslo,app,10 - 50,865000,Nei,Nei
36-40,0,15,"in-house, privat sektor",Vestfold og Telemark,backend,500 - 1.000,865000,Nei,Ja
31-35,5,9,konsulent,Oslo,arkitektur,1.000 - 10.000,870000,Nei,Ja
31-35,5,8,konsulent,Oslo,sikkerhet,1.000 - 10.000,870000,Ja,Nei
56-60,8,34,"in-house, privat sektor",Oslo,fullstack,1.000 - 10.000,870000,Nei,Ja
36-40,3,11,"in-house, privat sektor",Agder,backend,10 - 50,870000,Nei,Ja
26-30,3,4,konsulent,Oslo,fullstack,100 - 500,870000,Ja,Nei
31-35,5,7,konsulent,Viken,backend,100 - 500,870000,Ja,Ja
31-35,3,6,konsulent,Rogaland,devops,100 - 500,870000,Ja,Ja
36-40,5,13,"in-house, privat sektor",Innlandet,backend,100 - 500,870000,Ja,Nei
41-45,,23,"in-house, privat sektor",Viken,ledelse/administrativt,100 - 500,870000,Nei,Nei
41-45,0,19,konsulent,Oslo,frontend,50 - 100,870000,Nei,Ja
46-50,4,27,"in-house, offentlig/kommunal sektor",Oslo,frontend,50 - 100,870000,Nei,Nei
31-35,3,8,"in-house, privat sektor",Oslo,frontend,500 - 1.000,870000,Nei,Ja
31-35,5,6,"in-house, offentlig/kommunal sektor",Oslo,UX / design,500 - 1.000,870000,Nei,Ja
26-30,5,5,konsulent,Oslo,data science,over 10.000,870000,Ja,Ja
36-40,5,13,"in-house, offentlig/kommunal sektor",Oslo,backend,10 - 50,874192,Nei,Ja
31-35,4,10,"in-house, privat sektor",Oslo,app,1.000 - 10.000,875000,Nei,Nei
36-40,4,11,"in-house, offentlig/kommunal sektor",Oslo,fullstack,1.000 - 10.000,875000,Nei,Ja
41-45,3,20,"in-house, privat sektor",Viken,backend,1.000 - 10.000,875000,Nei,Nei
26-30,6,4,konsulent,Oslo,fullstack,10 - 50,875000,Ja,Nei
31-35,4,5,"in-house, privat sektor",Vestland,fullstack,10 - 50,875000,Ja,Nei
36-40,0,6,"in-house, privat sektor",Oslo,frontend,10 - 50,875000,Ja,Nei
31-35,5,6,"in-house, privat sektor",Vestfold og Telemark,devops,50 - 100,875000,Nei,Ja
41-45,5,17,"in-house, privat sektor",Oslo,frontend,500 - 1.000,875000,Nei,Nei
46-50,3,11,konsulent,Møre og Romsdal,fullstack,over 10.000,875000,Nei,Ja
31-35,5,6,"in-house, privat sektor",Oslo,data science,under 10,875000,Nei,Ja
31-35,5,11,"in-house, privat sektor",Oslo,fullstack,under 10,875000,Nei,Nei
36-40,0,13,"in-house, privat sektor",Oslo,backend,1.000 - 10.000,880000,Nei,Ja
41-45,4,20,"in-house, offentlig/kommunal sektor",Viken,fullstack,1.000 - 10.000,880000,Nei,Nei
26-30,2,2,"in-house, privat sektor",Oslo,fullstack,10 - 50,880000,Ja,Ja
26-30,5,4,konsulent,Oslo,fullstack,10 - 50,880000,Nei,Ja
36-40,1,10,"in-house, privat sektor",Oslo,frontend,10 - 50,880000,Nei,Ja
41-45,1,20,"in-house, privat sektor",Oslo,automatisering,10 - 50,880000,Nei,Nei
46-50,7,19,"in-house, privat sektor",Oslo,fullstack,10 - 50,880000,Nei,Ja
26-30,3,6,konsulent,Oslo,frontend,100 - 500,880000,Nei,Ja
31-35,5,4,"in-house, privat sektor",Troms og Finnmark,ledelse/administrativt,100 - 500,880000,Nei,Ja
31-35,3,6,"in-house, privat sektor",Nordland,sikkerhet,100 - 500,880000,Ja,Ja
36-40,0,12,"in-house, privat sektor",Oslo,devops,100 - 500,880000,Nei,Nei
31-35,6,6,"in-house, privat sektor",Vestfold og Telemark,fullstack,50 - 100,880000,Ja,Ja
46-50,6,24,"in-house, privat sektor",Innlandet,fullstack,50 - 100,880000,Nei,Nei
31-35,2,11,"in-house, privat sektor",Vestland,backend,over 10.000,880000,Ja,Nei
31-35,3,5,"in-house, offentlig/kommunal sektor",Agder,frontend,over 10.000,880000,Nei,Ja
26-30,3,4,konsulent,Oslo,backend,under 10,880000,Ja,Ja
41-45,4,21,"in-house, privat sektor",Vestland,fullstack,10 - 50,885000,Nei,Ja
41-45,5,17,"in-house, privat sektor",Trøndelag,ledelse/administrativt,100 - 500,885000,Nei,Nei
31-35,5,10,"in-house, offentlig/kommunal sektor",Oslo,frontend,over 10.000,888000,Nei,Nei
31-35,3,4,konsulent,Oslo,fullstack,1.000 - 10.000,890000,Ja,Nei
36-40,5,13,"in-house, privat sektor",Viken,frontend,1.000 - 10.000,890000,Nei,Nei
